Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1268883.3,Staphylococcus aureus 880,,1268883,131567;2;1783272;1239;91061;1385;90964;1279;1280;1268883,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus 880,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,880,,,,MLST.Staphylococcus_aureus.8,,,,,,,,,,,,,,,,Good,2014-04-28T00:00:00Z,,,PRJNA183704,SAMN02732485,GCF_000647855.2,,JICL00000000,Washington University,WGS,Illumina,76.3x,Newbler MapAsmResearch v. 10/14/2011,,3,31,2908778,32.56,2,560448,61,10,,2912,100,100,,100,,blood of a 35 year-old male,,,,,Brazil,South America,Brazil: Sao Paulo,,"Human, Homo sapiens",Human,,,,Human,,,,,A reference genome for the Human Microbiome Project.,2016-01-17T15:34:58.381Z,2016-01-17T15:34:58.381Z
1280.10923,Staphylococcus aureus strain LC33,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,LC33,,,,,,,,,,,,,,,,,,,,Good,2016-12-24T00:00:00Z,,,PRJNA355562,SAMN06077114,GCF_001921665.1,,MSFD00000000,Universidade Federal da Bahia,WGS,Illumina HiSeq,1641.0x,ABySS v. 1.9.1,,,53,2830095,32.72,5,222136,39,3,,2911,100,100,0.6,100,,milk sample,,2012-08-29,2012,,Brazil,South America,Brazil: Vitoria da Conquista,,"Human, Homo sapiens",Human,,,Mastitis,Human,,,,collected_by:Lucas Miranda Marques,methicillin-resistant Staphylococcus aureus isolate from human milk,2017-01-17T18:34:41.042Z,2017-01-17T18:34:41.042Z
1280.10924,Staphylococcus aureus strain C18,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,C18,,,,,,,,,,,,,,,,,,,,Good,2016-12-24T00:00:00Z,,,PRJNA355562,SAMN06077116,GCF_001921685.1,,MSFF00000000,Universidade Federal da Bahia,WGS,Illumina HiSeq,1256.0x,ABySS v. 1.9.1,,,123,2630015,33.59,16,50829,34,3,,2644,99.9,99.9,2.5,94.5,,Nasal sample,,2012-08-29,2012,,Brazil,South America,Brazil: Vitoria da Conquista,,"Human, Homo sapiens",Human,,,nasal sample,Human,,,,collected_by:Lucas Miranda Marques,methicillin-resistant Staphylococcus aureus isolate from human milk,2017-01-17T18:57:30.415Z,2017-01-17T18:57:30.415Z
1280.10925,Staphylococcus aureus strain C80,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,C80,,,,MLST.Staphylococcus_aureus.5,,,,,,,,,,,,,,,,Good,2016-12-24T00:00:00Z,,,PRJNA355562,SAMN06077115,GCF_001921695.1,,MSFE00000000,Universidade Federal da Bahia,WGS,Illumina HiSeq,2060.0x,ABySS v. 1.9.1,,,36,2692281,32.73,2,482716,40,3,,2709,100,99.9,,100,,Nasal sample,,2012-08-29,2012,,Brazil,South America,Brazil: Vitoria da Conquista,,"Human, Homo sapiens",Human,,,nasal sample,Human,,,,collected_by:Lucas Miranda Marques,methicillin-resistant Staphylococcus aureus isolate from human milk,2017-01-17T18:34:34.339Z,2017-01-17T18:34:34.339Z
1280.11635,Staphylococcus aureus strain AL-699,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,AL-699,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773537,GCF_001982965.1,,MOMP00000000,Universidad del Desarrollo,WGS,Illumina,82.0x,SPAdes v. 3.8.2,,,48,2767852,32.75,3,509023,60,6,,2784,100,100,1.2,100,,Mastitis Clinica,,2013-05-07,2013,,Chile,South America,Chile:Purranque,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:03.305Z,2017-03-20T07:13:03.305Z
1280.11636,Staphylococcus aureus strain AL-492,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,AL-492,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773538,GCF_001982975.1,,MOMQ00000000,Universidad del Desarrollo,WGS,Illumina,267.0x,SPAdes v. 3.8.2,,,67,2779589,32.76,2,666472,60,6,,2798,100,100,0.6,100,,Mastitis Clinica,,2013-05-07,2013,,Chile,South America,Chile:Chiloe,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:12.977Z,2017-03-20T07:13:12.977Z
1280.11637,Staphylococcus aureus strain MT-0541,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,MT-0541,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773539,GCF_001983025.1,,MOMR00000000,Universidad del Desarrollo,WGS,Illumina,38.0x,SPAdes v. 3.8.2,,,97,2678585,32.76,14,63940,60,8,,2654,100,99.9,,100,,Mastitis Subclinica,,2013-09-28,2013,,Chile,South America,Chile:Purranque,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:06.268Z,2017-03-20T07:13:06.268Z
1280.11638,Staphylococcus aureus strain AL-704,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,AL-704,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773540,GCF_001983065.1,,MOMS00000000,Universidad del Desarrollo,WGS,Illumina,21.0x,SPAdes v. 3.8.2,,,152,2703795,32.77,14,48646,60,7,,2719,100,99.6,1.8,100,,Mastitis Clinica,,2013-05-07,2013,,Chile,South America,Chile:Purranque,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:22.184Z,2017-03-20T07:13:22.184Z
1280.11639,Staphylococcus aureus strain MT-0509,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,MT-0509,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773542,GCF_001983085.1,,MOMU00000000,Universidad del Desarrollo,WGS,Illumina,24.0x,SPAdes v. 3.8.2,,,154,2694043,32.76,16,52605,60,7,,2716,100,99.6,,100,,Mastitis Subclinica,,2013-09-28,2013,,Chile,South America,Chile:Purranque,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:24.732Z,2017-03-20T07:13:24.732Z
1280.1164,Staphylococcus aureus strain MT-0557,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,MT-0557,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773541,GCF_001983095.1,,MOMT00000000,Universidad del Desarrollo,WGS,Illumina,24.0x,SPAdes v. 3.8.2,,,202,2734678,32.78,28,30007,61,8,,2781,100,99.3,0.9,100,,Mastitis Subclinica,,2013-09-28,2013,,Chile,South America,Chile:Osorno,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:30.345Z,2017-03-20T07:13:30.345Z
1280.11641,Staphylococcus aureus strain MT-0363,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,MT-0363,,,,MLST.Staphylococcus_aureus.97,,,,,,,,,,,,,,,,Good,2017-02-01T00:00:00Z,,,PRJNA343109,SAMN05773543,GCF_001983125.1,,MOMV00000000,Universidad del Desarrollo,WGS,Illumina,24.0x,SPAdes v. 3.8.2,,,37,2754418,32.75,2,668039,61,7,,2762,100,99.9,,100,,Mastitis Clinica,,2013-08-22,2013,,Chile,South America,Chile:Rio Bueno,,Bos taurus,Cow,,,Mastitis,Nonhuman Mammal,,,,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile",Whole genome sequencing for Staphylococcus aureus,2017-03-20T07:13:09.162Z,2017-03-20T07:13:09.162Z
