"Genome ID","Genome Name","Other Names","NCBI Taxon ID","Taxon Lineage IDs","Taxon Lineage Names","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genome Status","Strain","Serovar","Biovar","Pathovar","MLST","Segment","Subtype","H_type","N_type","H1 Clade Global","H1 Clade US","H5 Clade","pH1N1-like","Lineage","Clade","Subclade","Other Typing","Culture Collection","Type Strain","Reference","Genome Quality","Completion Date","Publication","Authors","BioProject Accession","BioSample Accession","accession","SRA Accession","GenBank Accessions","Sequencing Center","Sequencing Status","Sequencing Platform","Sequencing Depth","Assembly Method","Chromosome","Plasmids","Contigs","Size","GC Content","Contig L50","Contig N50","TRNA","RRNA","Mat Peptide","CDS","Coarse Consistency","Fine Consistency","CheckM Contamination","CheckM Completeness","Genome Quality Flags","Isolation Source","Isolation Comments","Collection Date","Collection Year","Season","Isolation Country","Geographic Group","Geographic Location","Other Environmental","Host Name","Host Common Name","Host Gender","Host Age","Host Health","Host Group","Lab Host","Passage","Other Clinical","Additional Metadata","Comments","Date Inserted","Date Modified","bleO","aadD1","hlgA","hlgC","hlgB","erm(A)","ant(9)-Ia","aur","icaC","mecA","mecR1","mecI","tet(38)","mepA","selX","cadD","qacR","qacA","splB","splA","lukD","lukE","sen","seu","sei","sem","seo","erm(C)","scn","sak","sep","arsC","arsB","arsR","blaI","blaR1","blaZ","hld","lmrS","fosB","ser","sej","sed","blaTEM","aph(3')-IIIa","sat4","ant(6)-Ia","msr(A)","mph(C)","tst","sea","cadC","catA","qacC","aac(6')-Ie/aph(2'')-Ia","splE","seh","sek","seq","dfrS1","selV","lnu(A)","mupA","merB","merT","merA","blaPC1","tet(K)","tet(M)","mco","cna","sel26","dfrG","lnu(B)","lsa(E)","spw","sel","sec2","fexA","tet(L)","erm(T)","tcrB","erm(B)","sel27","sel28","sey","qacG","tet","iss","sel30","lukF-PV","lukS-PV","set","ses","vga(A)-LC","qacJ","seb","selZ","eta","ednB","lnu(A)'","sel33","etb","sec3","str","lnu(G)","sec1","vga(A)","vanZ-A","vanY-A","vanX-A","vanA","vanH-A","vanS-A","vanR-A","qnrB","sul2","blaTEM-181","blaTEM-116","sal(A)","mecA1","qacH","lsa(A)","sample","I","II","III","IV","V","VI","VII","VIII","IX","meca","Ia","IIa","IIb","IIIa","IVa","IVb","IVc","IVd","IVg","IVh"
1268883.3,"Staphylococcus aureus 880",NA,1268883,"131567;2;1783272;1239;91061;1385;90964;1279;1280;1268883","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus 880","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","880",NA,NA,NA,"MLST.Staphylococcus_aureus.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2014-04-28,NA,NA,"PRJNA183704","SAMN02732485","GCF_000647855.2",NA,"JICL00000000","Washington University","WGS","Illumina","76.3x","Newbler MapAsmResearch v. 10/14/2011",NA,3,31,2908778,32.56,2,560448,61,10,NA,2912,100,100,NA,100,NA,"blood of a 35 year-old male",NA,NA,NA,NA,"Brazil","South America","Brazil: Sao Paulo",NA,"Human, Homo sapiens","Human",NA,NA,NA,"Human",NA,NA,NA,NA,"A reference genome for the Human Microbiome Project.",2016-01-17 15:34:58.381,2016-01-17 15:34:58.381,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"GCF_000647855.2_ASM64785v2_genomic",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1280.10923,"Staphylococcus aureus strain LC33",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","LC33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2016-12-24,NA,NA,"PRJNA355562","SAMN06077114","GCF_001921665.1",NA,"MSFD00000000","Universidade Federal da Bahia","WGS","Illumina HiSeq","1641.0x","ABySS v. 1.9.1",NA,NA,53,2830095,32.72,5,222136,39,3,NA,2911,100,100,0.6,100,NA,"milk sample",NA,"2012-08-29",2012,NA,"Brazil","South America","Brazil: Vitoria da Conquista",NA,"Human, Homo sapiens","Human",NA,NA,"Mastitis","Human",NA,NA,NA,"collected_by:Lucas Miranda Marques","methicillin-resistant Staphylococcus aureus isolate from human milk",2017-01-17 18:34:41.042,2017-01-17 18:34:41.042,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001921665.1_ASM192166v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.10924,"Staphylococcus aureus strain C18",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","C18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2016-12-24,NA,NA,"PRJNA355562","SAMN06077116","GCF_001921685.1",NA,"MSFF00000000","Universidade Federal da Bahia","WGS","Illumina HiSeq","1256.0x","ABySS v. 1.9.1",NA,NA,123,2630015,33.59,16,50829,34,3,NA,2644,99.9,99.9,2.5,94.5,NA,"Nasal sample",NA,"2012-08-29",2012,NA,"Brazil","South America","Brazil: Vitoria da Conquista",NA,"Human, Homo sapiens","Human",NA,NA,"nasal sample","Human",NA,NA,NA,"collected_by:Lucas Miranda Marques","methicillin-resistant Staphylococcus aureus isolate from human milk",2017-01-17 18:57:30.415,2017-01-17 18:57:30.415,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001921685.1_C18_genomic",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1280.10925,"Staphylococcus aureus strain C80",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","C80",NA,NA,NA,"MLST.Staphylococcus_aureus.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2016-12-24,NA,NA,"PRJNA355562","SAMN06077115","GCF_001921695.1",NA,"MSFE00000000","Universidade Federal da Bahia","WGS","Illumina HiSeq","2060.0x","ABySS v. 1.9.1",NA,NA,36,2692281,32.73,2,482716,40,3,NA,2709,100,99.9,NA,100,NA,"Nasal sample",NA,"2012-08-29",2012,NA,"Brazil","South America","Brazil: Vitoria da Conquista",NA,"Human, Homo sapiens","Human",NA,NA,"nasal sample","Human",NA,NA,NA,"collected_by:Lucas Miranda Marques","methicillin-resistant Staphylococcus aureus isolate from human milk",2017-01-17 18:34:34.339,2017-01-17 18:34:34.339,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001921695.1_C80_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11635,"Staphylococcus aureus strain AL-699",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","AL-699",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773537","GCF_001982965.1",NA,"MOMP00000000","Universidad del Desarrollo","WGS","Illumina","82.0x","SPAdes v. 3.8.2",NA,NA,48,2767852,32.75,3,509023,60,6,NA,2784,100,100,1.2,100,NA,"Mastitis Clinica",NA,"2013-05-07",2013,NA,"Chile","South America","Chile:Purranque",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:03.305,2017-03-20 07:13:03.305,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001982965.1_ASM198296v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11636,"Staphylococcus aureus strain AL-492",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","AL-492",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773538","GCF_001982975.1",NA,"MOMQ00000000","Universidad del Desarrollo","WGS","Illumina","267.0x","SPAdes v. 3.8.2",NA,NA,67,2779589,32.76,2,666472,60,6,NA,2798,100,100,0.6,100,NA,"Mastitis Clinica",NA,"2013-05-07",2013,NA,"Chile","South America","Chile:Chiloe",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:12.977,2017-03-20 07:13:12.977,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"GCF_001982975.1_ASM198297v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11637,"Staphylococcus aureus strain MT-0541",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","MT-0541",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773539","GCF_001983025.1",NA,"MOMR00000000","Universidad del Desarrollo","WGS","Illumina","38.0x","SPAdes v. 3.8.2",NA,NA,97,2678585,32.76,14,63940,60,8,NA,2654,100,99.9,NA,100,NA,"Mastitis Subclinica",NA,"2013-09-28",2013,NA,"Chile","South America","Chile:Purranque",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:06.268,2017-03-20 07:13:06.268,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001983025.1_ASM198302v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11638,"Staphylococcus aureus strain AL-704",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","AL-704",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773540","GCF_001983065.1",NA,"MOMS00000000","Universidad del Desarrollo","WGS","Illumina","21.0x","SPAdes v. 3.8.2",NA,NA,152,2703795,32.77,14,48646,60,7,NA,2719,100,99.6,1.8,100,NA,"Mastitis Clinica",NA,"2013-05-07",2013,NA,"Chile","South America","Chile:Purranque",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:22.184,2017-03-20 07:13:22.184,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001983065.1_ASM198306v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11639,"Staphylococcus aureus strain MT-0509",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","MT-0509",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773542","GCF_001983085.1",NA,"MOMU00000000","Universidad del Desarrollo","WGS","Illumina","24.0x","SPAdes v. 3.8.2",NA,NA,154,2694043,32.76,16,52605,60,7,NA,2716,100,99.6,NA,100,NA,"Mastitis Subclinica",NA,"2013-09-28",2013,NA,"Chile","South America","Chile:Purranque",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:24.732,2017-03-20 07:13:24.732,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001983085.1_ASM198308v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.1164,"Staphylococcus aureus strain MT-0557",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","MT-0557",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773541","GCF_001983095.1",NA,"MOMT00000000","Universidad del Desarrollo","WGS","Illumina","24.0x","SPAdes v. 3.8.2",NA,NA,202,2734678,32.78,28,30007,61,8,NA,2781,100,99.3,0.9,100,NA,"Mastitis Subclinica",NA,"2013-09-28",2013,NA,"Chile","South America","Chile:Osorno",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:30.345,2017-03-20 07:13:30.345,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001983095.1_ASM198309v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280.11641,"Staphylococcus aureus strain MT-0363",NA,1280,"131567;2;1783272;1239;91061;1385;90964;1279;1280","cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus","Bacteria",NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","WGS","MT-0363",NA,NA,NA,"MLST.Staphylococcus_aureus.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good",2017-02-01,NA,NA,"PRJNA343109","SAMN05773543","GCF_001983125.1",NA,"MOMV00000000","Universidad del Desarrollo","WGS","Illumina","24.0x","SPAdes v. 3.8.2",NA,NA,37,2754418,32.75,2,668039,61,7,NA,2762,100,99.9,NA,100,NA,"Mastitis Clinica",NA,"2013-08-22",2013,NA,"Chile","South America","Chile:Rio Bueno",NA,"Bos taurus","Cow",NA,NA,"Mastitis","Nonhuman Mammal",NA,NA,NA,"collected_by:Laboratorio de Microbiologia, INTA, Universidad de Chile","Whole genome sequencing for Staphylococcus aureus",2017-03-20 07:13:09.162,2017-03-20 07:13:09.162,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GCF_001983125.1_ASM198312v1_genomic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
